image,e,e2,e3,s,c,ita_s,reads,agreement,difficulty,ita
df71e3f044c167de37cf68692e3316ff.jpg,5.0,6.0,6.0,6.0,6.0,4.9164358670684205,27.0,0.783,0.778,4.0
f8156f640422d608c266be1fc691169c.jpg,3.0,2.0,1.0,2.0,2.0,49.15082439112049,16.0,0.394,0.812,2.0
9dc3ea5d2c25d1c0389dfd605ce1ef94.jpg,5.0,5.0,5.0,6.0,5.0,-83.61444894404335,40.0,0.421,0.6,6.0
2b71ada28a05084783c7514c01f2e9e9.jpg,2.0,2.0,2.0,1.0,1.0,51.54090370938139,19.0,0.95,0.947,2.0
10822b10a81c49283f6abf87264f9464.jpg,2.0,3.0,2.0,1.0,1.0,49.697695851116414,15.0,0.73,0.8,2.0
c24f2fded3f3a424f7a050502abfda8c.jpg,2.0,4.0,2.0,3.0,1.0,41.171397617414506,17.0,0.344,0.706,2.0
289e3197af9c6b563281ceea2e0ad03b.jpg,-1.0,2.0,2.0,1.0,-1.0,-7.746356783044175,54.0,0.564,0.444,5.0
63e839e2cd798300a2f9f936a8a2ed0a.jpg,5.0,5.0,5.0,5.0,6.0,57.18515628054714,34.0,0.498,0.559,1.0
ce2e6fd2575c2a5107b5adae885e393c.jpg,2.0,2.0,2.0,2.0,2.0,41.86566814995938,11.0,0.625,0.364,2.0
776df9914d005ed014b9b5c7814d9eae.jpg,4.0,5.0,5.0,5.0,5.0,-2.9502829925828244,37.0,0.505,0.973,5.0
e49817fc5005668867c80a5b41e1789c.jpg,3.0,4.0,2.0,2.0,3.0,-19.762788812670724,19.0,0.482,0.526,5.0
65e77c2068b0a972828823ca8854c418.jpg,6.0,6.0,6.0,6.0,6.0,-51.052340870527885,68.0,0.956,0.044,6.0
ea1f896a00fbf77f37b21c0690405499.jpg,1.0,2.0,1.0,1.0,1.0,44.30029952122547,15.0,0.789,0.2,2.0
3cb79e29c5577c86feb4df84d03de4e1.jpg,-1.0,3.0,-1.0,2.0,-1.0,10.947618212872724,68.0,1.0,0.0,3.0
e6282600d4b86b2b5ae3c620d707b061.jpg,3.0,3.0,2.0,2.0,3.0,24.793634293335057,20.0,0.352,0.65,3.0
3a9a26e93618809fd78a4c19af48822c.jpg,2.0,2.0,2.0,2.0,2.0,44.59284813648251,11.0,0.562,0.455,2.0
447cf96f5377a094d5639462728bf146.jpg,2.0,4.0,4.0,2.0,3.0,37.29157777002249,16.0,0.438,0.688,2.0
d36bb3484206e80157e272a97d2c6219.jpg,2.0,3.0,2.0,2.0,3.0,11.345491813547934,13.0,0.695,0.769,3.0
68da15c17bb9e7e3e20bb4db407f35ac.jpg,4.0,5.0,5.0,5.0,4.0,11.561804659578705,35.0,0.509,0.486,3.0
ae786a2f08dc81857cd7463d04481a90.jpg,4.0,3.0,4.0,4.0,4.0,17.24318188277335,24.0,0.311,0.667,3.0
c971b34480e98185fde319b01c499a80.jpg,4.0,4.0,4.0,4.0,3.0,-28.591390081653532,25.0,0.473,0.84,5.0
86279690de5710d2f7a7cccf43cba4d1.jpg,2.0,2.0,2.0,2.0,1.0,2.1408359467252542,27.0,0.59,0.63,5.0
4f5f06a6fd29beac4f65188db1cf3d40.jpg,2.0,3.0,3.0,1.0,1.0,61.367044738023594,15.0,1.0,1.0,1.0
351008a4e5a3237a658402f4e9a1f018.jpg,5.0,5.0,5.0,5.0,5.0,9.018491886507244,37.0,0.683,0.324,3.0
93a3c2538890ac818ebf1413e6e31bcc.jpg,4.0,3.0,2.0,5.0,4.0,-9.57661179855753,13.0,0.455,0.538,5.0
66fe72c4b59b72528f335e7c0361bf90.jpg,2.0,2.0,2.0,1.0,1.0,-89.0476650450134,21.0,0.551,0.81,6.0
5459225ba939913d4519a0308e6fb44a.jpg,5.0,6.0,6.0,6.0,6.0,-25.43434816920569,38.0,0.699,0.737,5.0
