hasher,source,e_label,e2_label,e3_label,ra_label,ita,s_label,s_label_mean,s_label_count,c_label,Agreement,Difficulty,Case ID,Qualified Reads,Origin,Reads 1 [qualified],Weight 1 [qualified],Reads 2 [qualified],Reads 6 [qualified],Weight 2 [qualified],Weight 6 [qualified],Reads none [qualified],Weight none [qualified],Reads 3 [qualified],Weight 3 [qualified],Reads 4 [qualified],Reads 5 [qualified],Weight 4 [qualified],Weight 5 [qualified],Comments,Majority Label
df71e3f044c167de37cf68692e3316ff.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5.0,6,6,5,4.0,6.0,5.267361111111111,576,6.0,0.783,0.778,6201312,27,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_follicular pityriasis rosea.jpg,,,,21.0,,12.7,,,,,,6.0,,3.52,['How is this not a 6?'],['6']
f8156f640422d608c266be1fc691169c.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3.0,2,1,1,2.0,2.0,2.5401785714285716,448,2.0,0.394,0.812,6201324,16,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_Lichen planus-like chronic graft-versus-host disease.png,5.0,2.98,6.0,1.0,3.85,0.51,,,3.0,1.89,1.0,,0.54,,,['2']
9dc3ea5d2c25d1c0389dfd605ce1ef94.jpg,Book - Dermatology (Bolognia 2018),5.0,5,5,5,6.0,6.0,4.677248677248677,378,5.0,0.421,0.6,6201200,40,Book - Dermatology (Bolognia 2018)_Hypertrophic lichen planus 2.png,,,,15.0,,9.08,,,2.0,1.26,7.0,16.0,4.02,10.43,,['5']
2b71ada28a05084783c7514c01f2e9e9.jpg,Book - Dermatology (Bolognia 2018),2.0,2,2,1,2.0,1.0,1.5691202872531418,557,1.0,0.95,0.947,6201311,19,Book - Dermatology (Bolognia 2018)_Pityriasis rosea 6.jpg,18.0,11.5,1.0,,0.6,,,,,,,,,,['I’m not sure why this isn’t a 1…'],['1']
10822b10a81c49283f6abf87264f9464.jpg,Book - Clinical dermatology (Habif 2010),2.0,3,2,2,2.0,1.0,1.8597972972972974,592,1.0,0.73,0.8,6201214,15,Book - Clinical dermatology (Habif 2010)_atopic dermatitis (14).png,11.0,6.99,3.0,,1.98,,,,1.0,0.6,,,,,,['1']
c24f2fded3f3a424f7a050502abfda8c.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),2.0,4,2,2,2.0,3.0,2.4886792452830186,530,1.0,0.344,0.706,6201327,17,Book - Dermatology atlas for skin of color (Jackson-Richards 2014)_Lichen planus (8).png,6.0,3.78,5.0,,3.46,,,,5.0,3.24,1.0,,0.5,,,['1']
289e3197af9c6b563281ceea2e0ad03b.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),-1.0,2,2,1,5.0,1.0,1.5879396984924623,398,-1.0,0.564,0.444,6201375,54,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_Oral lichen planus (2).jpg,22.0,12.89,,,,,30.0,18.18,1.0,0.55,,1.0,,0.59,,['none']
63e839e2cd798300a2f9f936a8a2ed0a.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5.0,5,5,5,1.0,5.0,4.92226148409894,566,6.0,0.498,0.559,6201272,34,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_Generalized pityriasis rosea.jpg,,,1.0,17.0,0.54,10.82,,,,,1.0,15.0,0.76,9.6,,['6']
ce2e6fd2575c2a5107b5adae885e393c.jpg,Book - Andrews Diseases of the Skin (James 2020),2.0,2,2,2,2.0,2.0,1.7796610169491525,531,2.0,0.625,0.364,6201049,11,Book - Andrews Diseases of the Skin (James 2020)_dermatomyositis (10).png,4.0,2.34,7.0,,3.9,,,,,,,,,,,['2']
776df9914d005ed014b9b5c7814d9eae.jpg,Book - Andrews Diseases of the Skin (James 2020),4.0,5,5,5,5.0,5.0,4.802690582959642,446,5.0,0.505,0.973,6201095,37,Book - Andrews Diseases of the Skin (James 2020)_Lichen planus pigmentosus.png,,,,17.0,,10.15,,,1.0,0.54,1.0,18.0,0.61,11.53,"['His type of skin belongs to type 5 which is dark brown', 'Why?']",['5']
