,hasher,source,e_label,ra_label,e2_label,e3_label
0,df71e3f044c167de37cf68692e3316ff.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5,5,6,6
1,f8156f640422d608c266be1fc691169c.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,1,2,1
3,9dc3ea5d2c25d1c0389dfd605ce1ef94.jpg,Book - Dermatology (Bolognia 2018),5,5,5,5
4,2b71ada28a05084783c7514c01f2e9e9.jpg,Book - Dermatology (Bolognia 2018),2,1,2,2
5,10822b10a81c49283f6abf87264f9464.jpg,Book - Clinical dermatology (Habif 2010),2,2,3,2
6,c24f2fded3f3a424f7a050502abfda8c.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),2,2,4,2
7,289e3197af9c6b563281ceea2e0ad03b.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),-1,1,2,2
8,63e839e2cd798300a2f9f936a8a2ed0a.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),5,5,5,5
9,ce2e6fd2575c2a5107b5adae885e393c.jpg,Book - Andrews Diseases of the Skin (James 2020),2,2,2,2
10,776df9914d005ed014b9b5c7814d9eae.jpg,Book - Andrews Diseases of the Skin (James 2020),4,5,5,5
11,e49817fc5005668867c80a5b41e1789c.jpg,Book - Clinical dermatology (Habif 2010),3,2,4,2
12,65e77c2068b0a972828823ca8854c418.jpg,Book - Clinical dermatology (Habif 2010),6,6,6,6
13,ea1f896a00fbf77f37b21c0690405499.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),1,1,2,1
14,3cb79e29c5577c86feb4df84d03de4e1.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),-1,2,3,-1
15,e6282600d4b86b2b5ae3c620d707b061.jpg,Book - Clinical dermatology (Habif 2010),3,3,3,2
16,3a9a26e93618809fd78a4c19af48822c.jpg,Book - Dermatology (Bolognia 2018),2,2,2,2
17,447cf96f5377a094d5639462728bf146.jpg,Book - Clinical dermatology (Habif 2010),2,2,4,4
18,d36bb3484206e80157e272a97d2c6219.jpg,Book - Dermatology (Bolognia 2018),2,3,3,2
19,68da15c17bb9e7e3e20bb4db407f35ac.jpg,Book - Dermatology (Bolognia 2018),4,4,5,5
20,ae786a2f08dc81857cd7463d04481a90.jpg,Book - Dermatology (Bolognia 2018),4,4,3,4
21,c971b34480e98185fde319b01c499a80.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),4,4,4,4
22,86279690de5710d2f7a7cccf43cba4d1.jpg,Book - Clinical dermatology (Habif 2010),2,2,2,2
23,4f5f06a6fd29beac4f65188db1cf3d40.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,1,3,3
24,351008a4e5a3237a658402f4e9a1f018.jpg,Book - Andrews Diseases of the Skin (James 2020),5,4,5,5
25,93a3c2538890ac818ebf1413e6e31bcc.jpg,Book - Clinical dermatology (Habif 2010),4,5,3,2
26,66fe72c4b59b72528f335e7c0361bf90.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,1,2,2
27,5459225ba939913d4519a0308e6fb44a.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),5,6,6,6
29,35a18e68db5708f2f99c731b31ecaa2e.jpg,Book - Fitzpatricks Dermatology (Kang 2019),5,5,4,5
31,5e4dd0597f8374051658be1e4b16b5eb.jpg,Book - Andrews Diseases of the Skin (James 2020),3,2,3,2
32,983af98dc4ec73c9553a66e53ae6bef8.jpg,Book - Dermatology (Bolognia 2018),2,1,1,2
33,83dccb78024689c98cf700f3cb6abaec.jpg,Book - Clinical dermatology (Habif 2010),2,1,3,2
34,0e0e9886df99755bb6028e09895c4bc5.jpg,Book - Fitzpatricks Dermatology (Kang 2019),3,3,3,3
35,ecd43ad7a0f1d9c1be60c757075cb2cf.jpg,Book - Andrews Diseases of the Skin (James 2020),2,2,3,3
36,cab944873b23c3d5671b02bb49c9a301.jpg,Book - Dermatology (Bolognia 2018),3,3,3,3
37,88beed3d5bedcf2a78b02b880730ce90.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,3,3,2
38,8280fb7607e3ed7a515da9a5a097ebdd.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),3,3,5,4
39,46aed2de2a42e5387565edd6371a0075.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),5,5,6,6
40,df18c0104ce1475b4966a6faa51bdec3.jpg,Book - Clinical dermatology (Habif 2010),4,4,4,6
41,d1185efc6e0a3c3aca4cf9fcc81bfd9b.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),3,3,4,4
42,3643cf697768b215244ae3acf8de0ea4.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,2,2,2
43,724f2c42d9b3970fb61763bbcb5ea591.jpg,Book - Fitzpatricks Dermatology (Kang 2019),4,5,6,5
45,d90bb243de68c2fb0265c12266a1d9a9.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,3,3,3
46,dca6600693b6c6a66792e6870ce727c9.jpg,Book - Andrews Diseases of the Skin (James 2020),3,3,3,3
47,13d3ddb78c7e33ce78eecb1e44be9087.jpg,Book - Clinical dermatology (Habif 2010),2,2,2,2
48,50c1389cbe9db12a44c5d7de17f64d54.jpg,Book - Andrews Diseases of the Skin (James 2020),4,4,4,4
49,c0f29f778ca6a7416819906d3f43da75.jpg,Book - Fitzpatricks Dermatology (Kang 2019),5,5,5,5
50,aac9891968bfdfbe86e7d342db81e808.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,2,3,2
51,546df073f181e48833ec8c796ddafe85.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,2,1,2
52,d05ea3386514835ebab00e4916befc47.jpg,Book - Dermatology (Bolognia 2018),5,5,5,5
53,a11cc1daa1a24141c0782de05f9ca607.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,1,1,2
54,9459cd8a91da963889b7470304f00168.jpg,Book - Clinical dermatology (Habif 2010),3,2,2,3
55,292f3f2cbfcd5d173f60c88a8e23003f.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),6,6,6,6
56,20b40c5877e58878b417600e9b7506c2.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,1,2,2
57,580c02c8e9bd6688fd09cc79d682de66.jpg,Book - Clinical dermatology (Habif 2010),3,3,3,4
58,9c6d96f68a327fe518e4340f5a7498cb.jpg,Book - Dermatology (Bolognia 2018),4,4,5,5
59,6a811ed1bf67383eaa67bad61df13dca.jpg,Book - Clinical dermatology (Habif 2010),2,2,2,2
60,a0a53d6a2108fbaab5c584e9959b220f.jpg,Book - Clinical dermatology (Habif 2010),2,1,1,2
61,21b3945a5f70563d4b74cb34c525cdf5.jpg,Book - Dermatology (Bolognia 2018),3,3,3,2
62,11473a3c8f077ec6ec2dbfd3aca48a5a.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,1,2,2
63,6d73cd5d45a8ad17126cdd517a4fbe41.jpg,Book - Clinical dermatology (Habif 2010),4,4,3,5
64,69a80a3f7dbf587a8c9fd50e74be1903.jpg,Book - Clinical dermatology (Habif 2010),5,6,5,6
65,bdefe4e4adcacdf7d6b227c3d6cd6852.jpg,Book - Dermatology (Bolognia 2018),3,3,4,4
66,e5dd81a8253a4e2d3a27b7151ce63d1e.jpg,Book - Clinical dermatology (Habif 2010),1,1,1,2
67,1aa530af62fc6fa42696e7f39244764b.jpg,Book - Clinical dermatology (Habif 2010),2,2,1,2
68,70dc808e5f744317991a9be1dc247254.jpg,Book - Clinical dermatology (Habif 2010),4,3,5,5
69,a28fc269352339cad785ac2ea4ded95b.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,3,2,2
70,e0792022edd7cb74cb90b13e358b42a2.jpg,Book - Andrews Diseases of the Skin (James 2020),2,2,2,2
71,b680c408e1309ed2c1663cc06e149579.jpg,Book - Dermatology (Bolognia 2018),2,1,1,2
72,719252d8c36ffd207f19ae218dd5235f.jpg,Book - Dermatology (Bolognia 2018),2,2,2,2
73,305797ae34a24462586b63583fcc617b.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2,3,3,2
74,5d709b3ba36d4d3e3237c154976972df.jpg,Book - Dermatology (Bolognia 2018),-1,-1,2,2
75,2514080900772dc96e9ad3f30c008dc5.jpg,Book - Clinical dermatology (Habif 2010),3,2,3,2
76,2d3f5354f7d3b328e1494240b8ecbcef.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),2,1,2,2
77,7a60296c90a8e943db5c0aa5b1084d31.jpg,Book - Andrews Diseases of the Skin (James 2020),4,4,4,4
78,5a907b46a130d95c4a2715025bf9941a.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),4,4,4,5
79,8c345cbc1a94b473eb6cc24f78fe8100.jpg,Book - Clinical dermatology (Habif 2010),1,2,2,2
80,3681548354da0d19c7ca7e14a374bb1c.jpg,Book - Dermatology (Bolognia 2018),2,2,3,2
81,108d8fb81e8dbe9f52fd963ac17284e0.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),4,5,5,4
82,e4a0d12702205e8da80a12826d5a7cc2.jpg,Book - Fitzpatricks Dermatology (Kang 2019),5,5,5,6
84,261ab050221f6a299e1afb750ca5b7a2.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,2,4,5
85,6157d4e6a8307a64f0d1a37b50e9bb03.jpg,Book - Rooks textbook of dermatology (Griffiths 2016),3,4,4,4
86,0c6f781ce8f49d4722811e1e75ba3cb8.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),3,3,3,3
87,c071b55c150a6dc43e90c711bc171b89.jpg,Book - Dermatology (Bolognia 2018),4,3,3,3
88,450f851a16e4887927c32d34f916f9d1.jpg,Book - Fitzpatricks Dermatology (Kang 2019),2,1,2,2
89,9f1f35f4e2110b212e69e5c4de5b85e8.jpg,Book - Andrews Diseases of the Skin (James 2020),3,5,3,4
90,827990b3ab12d11f1fea7d96a16490d3.jpg,Book - Dermatology (Bolognia 2018),6,6,6,6
