id,reason,message,user_id,problem_id,flag_created_at,topic_id,hasher_y,source,e_label,e2_label,e3_label,ra_label,s_label,s_label_mean,s_label_count,c_label,Agreement,Difficulty,Case ID_y,Qualified Reads,Origin_y,Reads 1 [qualified],Weight 1 [qualified],Reads 2 [qualified],Reads 6 [qualified],Weight 2 [qualified],Weight 6 [qualified],Reads none [qualified],Weight none [qualified],Reads 3 [qualified],Weight 3 [qualified],Reads 4 [qualified],Reads 5 [qualified],Weight 4 [qualified],Weight 5 [qualified],Comments,Correct Label,Majority Label,ita
47426,incorrect,There are photos of skin,208491,6201291,2021-10-01 07:14:47.353302,1409,bcc5fd25712fc3c20e078d01645f5773.jpg,Book - Dermatology (Bolognia 2018),-1.0,2,2,2,2.0,2.2387706855791962,423,4.0,0.38,0.875,6201291,8,Book - Dermatology (Bolognia 2018)_Pityriasis rubra pilaris.png,,,3.0,,1.58,,1.0,0.56,1.0,0.52,3.0,,1.63,,,['none'],['4'],3.0
47432,incorrect,I See a lot of Skin,158731,6201291,2021-10-01 09:31:24.235651,1409,bcc5fd25712fc3c20e078d01645f5773.jpg,Book - Dermatology (Bolognia 2018),-1.0,2,2,2,2.0,2.2387706855791962,423,4.0,0.38,0.875,6201291,8,Book - Dermatology (Bolognia 2018)_Pityriasis rubra pilaris.png,,,3.0,,1.58,,1.0,0.56,1.0,0.52,3.0,,1.63,,,['none'],['4'],3.0
47427,incorrect,It isn’t a 4. At least is a 5,208491,6201151,2021-10-01 07:20:07.377476,1409,556b7e20e4a718a135b058cb25ee0967.jpg,Book - Dermatology atlas for skin of color (Jackson-Richards 2014),4.0,5,5,4,5.0,4.438799076212471,433,5.0,0.809,0.903,6201151,31,Book - Dermatology atlas for skin of color (Jackson-Richards 2014)_secondary syphilis (4).png,,,,3.0,,1.71,,,,,3.0,25.0,1.92,15.36,,['4'],['5'],5.0
47445,incorrect,The photos involved are not all from the same person therefore the question is very misleading.,222724,6201107,2021-10-01 15:18:07.526259,1409,5d709b3ba36d4d3e3237c154976972df.jpg,Book - Dermatology (Bolognia 2018),-1.0,2,2,-1,2.0,1.8663366336633664,404,2.0,0.417,0.836,6201107,73,Book - Dermatology (Bolognia 2018)_Childhood atopic dermatitis.png,26.0,15.75,31.0,,18.87,,12.0,8.04,3.0,1.91,1.0,,0.66,,,['none'],['2'],2.0
47446,incorrect,You can see the person’s skin color in the photo and they are a Fitzpatrick 1 clearly.,222724,6201375,2021-10-01 15:19:13.984857,1409,289e3197af9c6b563281ceea2e0ad03b.jpg,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016),-1.0,2,2,1,1.0,1.5879396984924623,398,-1.0,0.564,0.444,6201375,54,Book - Taylor and Kellys Dermatology for Skin of Color (Taylor 2016)_Oral lichen planus (2).jpg,22.0,12.89,,,,,30.0,18.18,1.0,0.55,,1.0,,0.59,,['none'],['none'],5.0
47507,incorrect,There is no way this is dark enough,71806,6201102,2021-10-02 02:43:59.740894,1409,3bf63f4a48ca672dd9fda84024a9aff2.jpg,Book - Clinical dermatology (Habif 2010),4.0,4,3,2,3.0,2.9950980392156863,408,2.0,0.376,0.852,6201102,27,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (10).png,3.0,1.74,10.0,,6.16,,2.0,1.17,6.0,3.71,4.0,2.0,2.4,1.2,,['4'],['2'],3.0
47529,incorrect,Wrongggg it should be 4 cause it is brownish,222559,6201217,2021-10-02 04:32:45.803964,1409,aa1d256dee1fe25ec89e7e8e8c554611.jpg,Book - Fitzpatricks dermatology in general medicine (Wolff 2008),2.0,3,3,2,2.0,2.3911007025761126,427,-1.0,0.722,0.889,6201217,18,Book - Fitzpatricks dermatology in general medicine (Wolff 2008)_lichen planus (3).png,,,2.0,,1.26,,13.0,8.06,1.0,0.57,2.0,,1.28,,,['2'],['none'],5.0
47620,incorrect,Definitely a 6 on the scale,208184,6201085,2021-10-02 21:01:04.169486,1409,2b973b64ea1b411ebbe95e60efa62ecb.jpg,Book - Clinical dermatology (Habif 2010),5.0,6,6,6,6.0,5.281094527363184,402,6.0,0.859,0.846,6201085,13,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (3).png,,,,11.0,,6.8,,,,,,2.0,,1.12,"['Clearly 6', 'It’s definitely 6.', 'It’s clearly a 6', 'yeah, I think it’s 6 too.', 'Pretty sure this is wrong. Can’t imagine how this isn’t a 6, open to others’ explanations though.']",['5'],['6'],6.0
48022,incorrect,It’s a 6! He is dark brown,114181,6201085,2021-10-11 02:22:31.293896,1409,2b973b64ea1b411ebbe95e60efa62ecb.jpg,Book - Clinical dermatology (Habif 2010),5.0,6,6,6,6.0,5.281094527363184,402,6.0,0.859,0.846,6201085,13,Book - Clinical dermatology (Habif 2010)_Secondary syphilis (3).png,,,,11.0,,6.8,,,,,,2.0,,1.12,"['Clearly 6', 'It’s definitely 6.', 'It’s clearly a 6', 'yeah, I think it’s 6 too.', 'Pretty sure this is wrong. Can’t imagine how this isn’t a 6, open to others’ explanations though.']",['5'],['6'],6.0
47621,incorrect,It appears that this individual is more of a 1 based on the unaffected skin,208184,6201445,2021-10-02 21:05:05.770598,1409,a0a53d6a2108fbaab5c584e9959b220f.jpg,Book - Clinical dermatology (Habif 2010),2.0,1,2,1,1.0,1.8921775898520083,473,1.0,0.758,0.833,6201445,18,Book - Clinical dermatology (Habif 2010)_Atopic dermatitis (3).png,14.0,8.54,3.0,,2.16,,,,1.0,0.57,,,,,,['2'],['1'],5.0
47623,incorrect,"The shadows could be cause for confusion, but the lip and cheek coloration are more commonly seen classified as 2.",208184,6201493,2021-10-02 21:10:44.357768,1409,e49817fc5005668867c80a5b41e1789c.jpg,Book - Clinical dermatology (Habif 2010),3.0,4,2,2,2.0,2.157248157248157,407,3.0,0.482,0.526,6201493,19,Book - Clinical dermatology (Habif 2010)_Lichen planus (10).png,,,7.0,,4.25,,1.0,0.58,9.0,5.59,1.0,1.0,0.51,0.66,,['3'],['3'],5.0
47624,incorrect,Hard to determine based on lighting and shadow,208184,6201064,2021-10-02 21:14:06.311312,1409,448abbea9a181b172619e1c8b35a0ebf.jpg,Book - Clinical dermatology (Habif 2010),3.0,3,3,2,2.0,2.269047619047619,420,2.0,0.436,0.667,6201064,21,Book - Clinical dermatology (Habif 2010)_Atopic dermatitis.png,3.0,1.81,9.0,,5.42,,,,7.0,4.13,2.0,,1.08,,,['3'],['2'],3.0
