id,reason,message,user_id,problem_id,flag_created_at,topic_id,title,Case ID,Origin,hasher,fitzpatrick,label,nine_partition_label,three_partition_label,qc,url,url_alphanum
41754,incorrect,Pt has light skin,67879,5825268,2021-07-15 01:03:28.269072,1330,Fitzpatrick Scale,5825268.0,fitzpatrick-new/547c59d8dec50f804c7949ed8bb2250e.jpg,547c59d8dec50f804c7949ed8bb2250e.jpg,6,lichen planus,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/t/trauma/trauma14.jpg,httpwwwdermaamincomsiteimagesclinicalpicttraumatrauma14jpg.jpg
41755,incorrect,Pt has light skin,67879,5828017,2021-07-15 01:04:29.273777,1330,Fitzpatrick Scale,5828017.0,fitzpatrick-new/886672e3a94aca6d2ba3f8196611eabc.jpg,886672e3a94aca6d2ba3f8196611eabc.jpg,5,epidermal nevus,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus8.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus8jpg.jpg
41758,incorrect,"6 is the darkest skin tone, this skin tone is very light",14681,5834277,2021-07-15 02:51:36.533687,1330,Fitzpatrick Scale,5834277.0,fitzpatrick-new/de6e77794b9d6b4633d45a6454e66cb2.jpg,de6e77794b9d6b4633d45a6454e66cb2.jpg,6,squamous cell carcinoma,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/s/squamous-cell-carcinoma/squamous-cell-carcinoma74.jpg,httpwwwdermaamincomsiteimagesclinicalpicssquamouscellcarcinomasquamouscellcarcinoma74jpg.jpg
41759,incorrect,"While the pigmented part of the skin is very dark, the overall skin tone is light. This is mislabeled.",14681,5835203,2021-07-15 02:54:27.433733,1330,Fitzpatrick Scale,5835203.0,fitzpatrick-new/e815861f140e305baf441814e6dbda48.jpg,e815861f140e305baf441814e6dbda48.jpg,6,malignant melanoma,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/m/malignant-melanoma/malignant-melanoma43.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmalignantmelanomamalignantmelanoma43jpg.jpg
41760,incorrect,The answer is clearly a 6. The darkest skin tone,14681,5834611,2021-07-15 03:03:04.849345,1330,Fitzpatrick Scale,5834611.0,fitzpatrick-new/d7f89800ef5657b28c9691d96a547bfd.jpg,d7f89800ef5657b28c9691d96a547bfd.jpg,5,granuloma annulare,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare53.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare53jpg.jpg
41762,incorrect,"Should be a number, most likely a 3 or 4",48870,5826235,2021-07-15 03:29:21.208657,1330,Fitzpatrick Scale,5826235.0,fitzpatrick-new/5973afe5a06349b95bca685fd4f35c15.jpg,5973afe5a06349b95bca685fd4f35c15.jpg,-1,nematode infection,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans25.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlarvamigranslarvamigrans25jpg.jpg
41765,incorrect,"Incorrect, the skin is not a level 6",14681,5832578,2021-07-15 03:39:29.336512,1330,Fitzpatrick Scale,5832578.0,fitzpatrick-new/c1bd2834e47368a98ac5387648ea9d3f.jpg,c1bd2834e47368a98ac5387648ea9d3f.jpg,6,neutrophilic dermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum46.jpg,httpwwwdermaamincomsiteimagesclinicalpicppyodermagangrenosumpyodermagangrenosum46jpg.jpg
41841,incorrect,Lesion can’t tell skin color well,67879,5832578,2021-07-15 15:38:37.424287,1330,Fitzpatrick Scale,5832578.0,fitzpatrick-new/c1bd2834e47368a98ac5387648ea9d3f.jpg,c1bd2834e47368a98ac5387648ea9d3f.jpg,6,neutrophilic dermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum46.jpg,httpwwwdermaamincomsiteimagesclinicalpicppyodermagangrenosumpyodermagangrenosum46jpg.jpg
41776,incorrect,"This is skin, not none",107650,5830558,2021-07-15 06:28:13.911019,1330,Fitzpatrick Scale,5830558.0,fitzpatrick-new/a33e3fab82e0ba212be3d29b82902561.jpg,a33e3fab82e0ba212be3d29b82902561.jpg,-1,folliculitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/folliculitis/folliculitis8.jpg,httpwwwdermaamincomsiteimagesclinicalpicffolliculitisfolliculitis8jpg.jpg
41777,incorrect,Shouldn’t be none,107650,5830147,2021-07-15 06:28:51.631821,1330,Fitzpatrick Scale,5830147.0,fitzpatrick-new/981a205ada4a2d495d663f5db4cfee27.jpg,981a205ada4a2d495d663f5db4cfee27.jpg,-1,syringoma,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma17.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma17jpg.jpg
41778,incorrect,Definitely not dark skin,107650,5835231,2021-07-15 06:31:19.829754,1330,Fitzpatrick Scale,5835231.0,fitzpatrick-new/e315766377e07b3a78c789f1ef6cf529.jpg,e315766377e07b3a78c789f1ef6cf529.jpg,5,melanoma,malignant melanoma,malignant,,http://atlasdermatologico.com.br/img?imageId=4310,httpwwwatlasdermatologicocombrimgimageId4310.jpg
41826,incorrect,Should be lighter,67879,5829796,2021-07-15 15:04:47.464885,1330,Fitzpatrick Scale,5829796.0,fitzpatrick-new/9b6a29c58a5cc9dd856128b9e28881ae.jpg,9b6a29c58a5cc9dd856128b9e28881ae.jpg,5,lentigo maligna,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna40.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlentigomalignalentigomaligna40jpg.jpg
41827,incorrect,Should be 5 or 6,67879,5824341,2021-07-15 15:07:21.246059,1330,Fitzpatrick Scale,5824341.0,fitzpatrick-new/40f32e28acba3e92330155253b6e0965.jpg,40f32e28acba3e92330155253b6e0965.jpg,4,stasis edema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-ulcer/stasis-ulcer5.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstasisulcerstasisulcer5jpg.jpg
41828,incorrect,Should be 1 because skin is very light,67879,5825216,2021-07-15 15:13:08.257865,1330,Fitzpatrick Scale,5825216.0,fitzpatrick-new/5215117a291bbb5953ff57bde9446f72.jpg,5215117a291bbb5953ff57bde9446f72.jpg,3,tick bite,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/f/flea_bites/flea_bites13.jpg,httpwwwdermaamincomsiteimagesclinicalpicffleabitesfleabites13jpg.jpg
41830,incorrect,Sunburn on lighter skin,67879,5832158,2021-07-15 15:15:24.588817,1330,Fitzpatrick Scale,5832158.0,fitzpatrick-new/b5aa99b34586a38e166673d922658e52.jpg,b5aa99b34586a38e166673d922658e52.jpg,5,lyme disease,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythem_achronicum_migrans/erythem_achronicum_migrans50.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemachronicummigranserythemachronicummigrans50jpg.jpg
41831,incorrect,This pt has lighter skin,67879,5833175,2021-07-15 15:15:38.7476,1330,Fitzpatrick Scale,5833175.0,fitzpatrick-new/c3d23de03f0f486c3ab83ce5ae9a86eb.jpg,c3d23de03f0f486c3ab83ce5ae9a86eb.jpg,4,erythema multiforme,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_multiforme/erythema_multiforme166.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemamultiformeerythemamultiforme166jpg.jpg
41832,incorrect,Púrpura on lighter skin,67879,5825783,2021-07-15 15:16:14.784692,1330,Fitzpatrick Scale,5825783.0,fitzpatrick-new/52f5155fb53934445bbe66efbf52ae4a.jpg,52f5155fb53934445bbe66efbf52ae4a.jpg,-1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate23.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisguttatepsoriasisguttate23jpg.jpg
41833,incorrect,Very dark skin here,67879,5829347,2021-07-15 15:17:16.012043,1330,Fitzpatrick Scale,5829347.0,fitzpatrick-new/85d552b118bf99b720b7dd1ecd599e5c.jpg,85d552b118bf99b720b7dd1ecd599e5c.jpg,5,lichen simplex,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_simplex/lichen_simplex5.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichensimplexlichensimplex5jpg.jpg
41834,incorrect,Very light skin,67879,5825943,2021-07-15 15:20:25.818692,1330,Fitzpatrick Scale,5825943.0,fitzpatrick-new/55380b8e11469709714b2994f8ce8fd7.jpg,55380b8e11469709714b2994f8ce8fd7.jpg,-1,port wine stain,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/port-wine-stain/port-wine-stain33.jpg,httpwwwdermaamincomsiteimagesclinicalpicpportwinestainportwinestain33jpg.jpg
